Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2018,4887871,737438,7171646,3013825,39557045,5695564,3572665,967171,702455,21299325,10519475,1420491,1754208,12741080,6691878,3156145,2911505,4468402,4659978,1338404,6042718,6902149,9995915,5611179,2986530,6126452,1062305,1929268,3034392,1356458,8908520,2095428,19542209,10383620,760077,11689442,3943079,4190713,12807060,1057315,5084127,882235,6770010,28701845,3161105,626299,8517685,7535591,1805832,5813568,577737
2017,4875120,739786,7048876,3002997,39399349,5615902,3573880,957078,695691,20976812,10413055,1424203,1718904,12786196,6660082,3143637,2910689,4453874,4670818,1335063,6024891,6863246,9976447,5568155,2989663,6108612,1053090,1917575,2972405,1349767,8888543,2093395,19590719,10270800,755176,11664129,3932640,4146592,12790447,1056486,5021219,873286,6708794,28322717,3103118,624525,8465207,7425432,1817048,5792051,578934
2016,4864745,741504,6945452,2990410,39209127,5540921,3578674,949216,686575,20629982,10304763,1428105,1682930,12826895,6633344,3131785,2911263,4438229,4678215,1331370,6004692,6826022,9951890,5523409,2988298,6087203,1040863,1905924,2919772,1342373,8874516,2092789,19641589,10156679,754353,11635003,3926769,4091404,12783538,1057063,4958235,862890,6645011,27937492,3042613,623644,8410946,7294680,1830929,5772958,584290
2015,4853160,737547,6833596,2978407,38953142,5452107,3587509,941413,675254,20224249,10181111,1422484,1651523,12864342,6608296,3121460,2909502,4425999,4664851,1328484,5986717,6795891,9932573,5482503,2988693,6071745,1030503,1891507,2868666,1336294,8870869,2090211,19661411,10033079,754022,11617850,3909831,4016918,12785759,1056173,4892253,853933,6590808,27486814,2982497,625197,8362907,7163543,1841996,5761406,585668
2014,4842481,736307,6733840,2967726,38625139,5351218,3594783,932596,662513,19860330,10069001,1414862,1631479,12888962,6593533,3109504,2900896,4414483,4644204,1330760,5958165,6763652,9930589,5451522,2990623,6056293,1021891,1879522,2819012,1333223,8866780,2090342,19656330,9933944,737382,11602973,3878367,3964106,12789101,1056017,4823793,849088,6540826,26977142,2937399,625218,8312076,7052439,1849467,5751974,582548
2013,4830460,737045,6634999,2959549,38280824,5270482,3594915,923638,650431,19563166,9973326,1408453,1611530,12898269,6568367,3093078,2893510,4404817,4624577,1328196,5923704,6713944,9913349,5413693,2988797,6040658,1013564,1865414,2776972,1326408,8858362,2092792,19628043,9843599,721999,11576576,3853205,3922908,12776621,1055122,4764153,842270,6493432,26489464,2897927,626212,8253053,6962906,1853873,5736952,582123
2012,4815564,730399,6556629,2952109,37960782,5193721,3594395,915188,634725,19326230,9901496,1394905,1595441,12884119,6537640,3076097,2885361,4386381,4600814,1327691,5887072,6663158,9896930,5376550,2983767,6024081,1003754,1853323,2744566,1323962,8845483,2087549,19574549,9749123,701116,11548369,3818600,3899118,12766827,1054601,4717112,833496,6451281,26089620,2853467,626063,8185229,6892876,1856764,5719855,576270
2011,4798834,722038,6473497,2940407,37641823,5121771,3588023,907316,619602,19093352,9801578,1379252,1583828,12867291,6516045,3066054,2869035,4369488,4575184,1328150,5838991,6613149,9881521,5345668,2978470,6009641,997221,1840538,2712799,1319815,8827783,2080395,19498514,9656754,685136,11543463,3787821,3871728,12744583,1053536,4671422,823484,6397410,25646227,2814216,626979,8100469,6821655,1856074,5704755,567224
2010,4785448,713906,6407774,2921978,37320903,5048281,3579125,899595,605085,18845785,9711810,1363963,1570773,12840762,6490436,3050767,2858213,4348200,4544532,1327632,5788642,6566431,9877535,5310843,2970536,5995976,990722,1829536,2702464,1316777,8799624,2064588,19400080,9574293,674710,11539327,3759632,3837532,12711158,1053938,4635656,816165,6355301,25242679,2775334,625880,8023680,6742902,1854214,5690479,564483
2009,4757938,698895,6343154,2896843,36961229,4972195,3561807,891730,592228,18652644,9620846,1346717,1554439,12796778,6459325,3032870,2832704,4317074,4491648,1329590,5730388,6517613,9901591,5281203,2958774,5961088,983982,1812683,2684665,1316102,8755602,2036802,19307066,9449566,664968,11528896,3717572,3808600,12666858,1053646,4589872,807067,6306019,24801761,2723421,624817,7925937,6667426,1847775,5669264,559851
