Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2016,9,3,11,6,55,9,7,3,3,29,16,4,4,20,11,6,6,8,8,4,10,11,16,10,6,10,3,5,6,4,14,5,29,15,3,18,7,7,20,4,9,3,11,38,6,3,13,12,5,10,3
2012,9,3,11,6,55,9,7,3,3,29,16,4,4,20,11,6,6,8,8,4,10,11,16,10,6,10,3,5,6,4,14,5,29,15,3,18,7,7,20,4,9,3,11,38,6,3,13,12,5,10,3
2008,9,3,10,6,55,9,7,3,3,27,15,4,4,21,11,7,6,8,9,4,10,12,17,10,6,11,3,5,5,4,15,5,31,15,3,20,7,7,21,4,8,3,11,34,5,3,13,11,5,10,3
2004,9,3,10,6,55,9,7,3,3,27,15,4,4,21,11,7,6,8,9,4,10,12,17,10,6,11,3,5,5,4,15,5,31,15,3,20,7,7,21,4,8,3,11,34,5,3,13,11,5,10,3
2000,9,3,8,6,54,8,8,3,3,25,13,4,4,22,12,7,6,8,9,4,10,12,18,10,7,11,3,5,4,4,15,5,33,14,3,21,8,7,23,4,8,3,11,32,5,3,13,11,5,11,3
1996,9,3,8,6,54,8,8,3,3,25,13,4,4,22,12,7,6,8,9,4,10,12,18,10,7,11,3,5,4,4,15,5,33,14,3,21,8,7,23,4,8,3,11,32,5,3,13,11,5,11,3
1992,9,3,8,6,54,8,8,3,3,25,13,4,4,22,12,7,6,8,9,4,10,12,18,10,7,11,3,5,4,4,15,5,33,14,3,21,8,7,23,4,8,3,11,32,5,3,13,11,5,11,3
1988,9,3,7,6,47,8,8,3,3,21,12,4,4,24,12,8,7,9,10,4,10,13,20,10,7,11,4,5,4,4,16,5,36,13,3,23,8,7,25,4,8,3,11,29,5,3,12,10,6,11,3
1984,9,3,7,6,47,8,8,3,3,21,12,4,4,24,12,8,7,9,10,4,10,13,20,10,7,11,4,5,4,4,16,5,36,13,3,23,8,7,25,4,8,3,11,29,5,3,12,10,6,11,3
1980,9,3,6,6,45,7,8,3,3,17,12,4,4,26,13,8,7,9,10,4,10,14,21,10,7,12,4,5,3,4,17,4,41,13,3,25,8,6,27,4,8,4,10,26,4,3,12,9,6,11,3
1976,9,3,6,6,45,7,8,3,3,17,12,4,4,26,13,8,7,9,10,4,10,14,21,10,7,12,4,5,3,4,17,4,41,13,3,25,8,6,27,4,8,4,10,26,4,3,12,9,6,11,3
1972,9,3,6,6,45,7,8,3,3,17,12,4,4,26,13,8,7,9,10,4,10,14,21,10,7,12,4,5,3,4,17,4,41,13,3,25,8,6,27,4,8,4,10,26,4,3,12,9,6,11,3
1968,10,3,5,6,40,6,8,3,3,14,12,4,4,26,13,9,7,9,10,4,10,14,21,10,7,12,4,5,3,4,17,4,43,13,4,26,8,6,29,4,8,4,11,25,4,3,12,9,7,12,3
1964,10,3,5,6,40,6,8,3,3,14,12,4,4,26,13,9,7,9,10,4,10,14,21,10,7,12,4,5,3,4,17,4,43,13,4,26,8,6,29,4,8,4,11,25,4,3,12,9,7,12,3
1960,11,3,4,8,32,6,8,3,0,10,12,3,4,27,13,10,8,10,10,5,9,16,20,11,8,13,4,6,3,4,16,4,45,14,4,25,8,6,32,4,8,4,11,24,4,3,12,9,8,12,3
1956,11,0,4,8,32,6,8,3,0,10,12,0,4,27,13,10,8,10,10,5,9,16,20,11,8,13,4,6,3,4,16,4,45,14,4,25,8,6,32,4,8,4,11,24,4,3,12,9,8,12,3
1952,11,0,4,8,32,6,8,3,0,10,12,0,4,27,13,10,8,10,10,5,9,16,20,11,8,13,4,6,3,4,16,4,45,14,4,25,8,6,32,4,8,4,11,24,4,3,12,9,8,12,3
1948,11,0,4,9,25,6,8,3,0,8,12,0,4,28,13,10,8,11,10,5,8,16,19,11,9,15,4,6,3,4,16,4,47,14,4,25,10,6,35,4,8,4,12,23,4,3,11,8,8,12,3
1944,11,0,4,9,25,6,8,3,0,8,12,0,4,28,13,10,8,11,10,5,8,16,19,11,9,15,4,6,3,4,16,4,47,14,4,25,10,6,35,4,8,4,12,23,4,3,11,8,8,12,3
1940,11,0,3,9,22,6,8,3,0,7,12,0,4,29,14,11,9,11,10,5,8,17,19,11,9,15,4,7,3,4,16,3,47,13,4,26,11,5,36,4,8,4,11,23,4,3,11,8,8,12,3
1936,11,0,3,9,22,6,8,3,0,7,12,0,4,29,14,11,9,11,10,5,8,17,19,11,9,15,4,7,3,4,16,3,47,13,4,26,11,5,36,4,8,4,11,23,4,3,11,8,8,12,3
1932,11,0,3,9,22,6,8,3,0,7,12,0,4,29,14,11,9,11,10,5,8,17,19,11,9,15,4,7,3,4,16,3,47,13,4,26,11,5,36,4,8,4,11,23,4,3,11,8,8,12,3
1928,12,0,3,9,13,6,7,3,0,6,14,0,4,29,15,13,10,13,10,6,8,18,15,12,10,18,4,8,3,4,14,3,45,12,5,24,10,5,38,5,9,5,12,20,4,4,12,7,8,13,3
1924,12,0,3,9,13,6,7,3,0,6,14,0,4,29,15,13,10,13,10,6,8,18,15,12,10,18,4,8,3,4,14,3,45,12,5,24,10,5,38,5,9,5,12,20,4,4,12,7,8,13,3
1920,12,0,3,9,13,6,7,3,0,6,14,0,4,29,15,13,10,13,10,6,8,18,15,12,10,18,4,8,3,4,14,3,45,12,5,24,10,5,38,5,9,5,12,20,4,4,12,7,8,13,3
1916,12,0,3,9,13,6,7,3,0,6,14,0,4,29,15,13,10,13,10,6,8,18,15,12,10,18,4,8,3,4,14,3,45,12,5,24,10,5,38,5,9,5,12,20,4,4,12,7,8,13,3
1912,12,0,3,9,13,6,7,3,0,6,14,0,4,29,15,13,10,13,10,6,8,18,15,12,10,18,4,8,3,4,14,3,45,12,5,24,10,5,38,5,9,5,12,20,4,4,12,7,8,13,3
1908,11,0,0,9,10,5,7,3,0,5,13,0,3,27,15,13,10,13,9,6,8,16,14,11,10,18,3,8,3,4,12,0,39,12,4,23,7,4,34,4,9,4,12,18,3,4,12,5,7,13,3
1904,11,0,0,9,10,5,7,3,0,5,13,0,3,27,15,13,10,13,9,6,8,16,14,11,10,18,3,8,3,4,12,0,39,12,4,23,0,4,34,4,9,4,12,18,3,4,12,5,7,13,3
1900,11,0,0,8,9,4,6,3,0,4,13,0,3,24,15,13,10,13,8,6,8,15,14,9,9,17,3,8,3,4,10,0,36,11,3,23,0,4,32,4,9,4,12,15,3,4,12,4,6,12,3
1896,11,0,0,8,9,4,6,3,0,4,13,0,3,24,15,13,10,13,8,6,8,15,14,9,9,17,3,8,3,4,10,0,36,11,3,23,0,4,32,4,9,4,12,15,3,4,12,4,6,12,3
1892,11,0,0,8,9,4,6,3,0,4,13,0,3,24,15,13,10,13,8,6,8,15,14,9,9,17,3,8,3,4,10,0,36,11,3,23,0,4,32,4,9,4,12,15,0,4,12,4,6,12,3
1888,10,0,0,7,8,3,6,3,0,4,12,0,0,22,15,13,9,13,8,6,8,14,13,7,9,16,0,5,3,4,9,0,36,11,0,23,0,3,30,4,9,0,12,13,0,4,12,0,6,11,0
1884,10,0,0,7,8,3,6,3,0,4,12,0,0,22,15,13,9,13,8,6,8,14,13,7,9,16,0,5,3,4,9,0,36,11,0,23,0,3,30,4,9,0,12,13,0,4,12,0,6,11,0
1880,10,0,0,6,6,3,6,3,0,4,11,0,0,21,15,11,5,12,8,7,8,13,11,5,8,15,0,3,3,5,9,0,35,10,0,22,0,3,29,4,7,0,12,8,0,5,11,0,5,10,0
1876,10,0,0,6,6,3,6,3,0,4,11,0,0,21,15,11,5,12,8,7,8,13,11,5,8,15,0,3,3,5,9,0,35,10,0,22,0,3,29,4,7,0,12,8,0,5,11,0,5,10,0
1872,10,0,0,0,6,0,6,3,0,4,11,0,0,21,15,11,5,12,0,7,8,13,11,5,8,15,0,3,3,5,9,0,35,10,0,22,0,3,29,4,7,0,12,8,0,5,11,0,5,10,0
1868,8,0,0,5,5,0,6,3,0,3,9,0,0,16,13,8,3,11,7,7,7,12,8,4,0,11,0,3,3,5,7,0,33,9,0,21,0,3,26,4,6,0,10,0,0,5,0,0,5,8,0
1864,0,0,0,0,5,0,6,3,0,0,0,0,0,16,13,8,3,11,0,7,7,12,8,4,0,11,0,0,2,5,7,0,33,0,0,21,0,3,26,4,0,0,0,0,0,5,0,0,5,8,0
1860,9,0,0,4,4,0,6,3,0,3,10,0,0,11,13,4,0,12,6,8,8,13,6,4,7,9,0,0,0,5,7,0,35,10,0,23,0,3,27,4,8,0,12,4,0,5,15,0,0,5,0
1856,9,0,0,4,4,0,6,3,0,3,10,0,0,11,13,4,0,12,6,8,8,13,6,0,7,9,0,0,0,5,7,0,35,10,0,23,0,0,27,4,8,0,12,4,0,5,15,0,0,5,0
1852,9,0,0,4,4,0,6,3,0,3,10,0,0,11,13,4,0,12,6,8,8,13,6,0,7,9,0,0,0,5,7,0,35,10,0,23,0,0,27,4,8,0,12,4,0,5,15,0,0,5,0
1848,9,0,0,3,0,0,6,3,0,3,10,0,0,9,12,4,0,12,6,9,8,12,5,0,6,7,0,0,0,6,7,0,36,11,0,23,0,0,26,4,9,0,13,4,0,6,17,0,0,4,0
1844,9,0,0,3,0,0,6,3,0,0,10,0,0,9,12,0,0,12,6,9,8,12,5,0,6,7,0,0,0,6,7,0,36,11,0,23,0,0,26,4,9,0,13,0,0,6,17,0,0,0,0
1840,7,0,0,3,0,0,8,3,0,0,11,0,0,5,9,0,0,15,5,10,10,14,3,0,4,4,0,0,0,7,8,0,42,15,0,21,0,0,30,4,11,0,15,0,0,7,23,0,0,0,0
1836,7,0,0,3,0,0,8,3,0,0,11,0,0,5,9,0,0,15,5,10,10,14,3,0,4,4,0,0,0,7,8,0,42,15,0,21,0,0,30,4,11,0,15,0,0,7,23,0,0,0,0
1832,7,0,0,0,0,0,8,3,0,0,11,0,0,5,9,0,0,15,5,10,8,14,0,0,4,4,0,0,0,7,8,0,42,15,0,21,0,0,30,4,11,0,15,0,0,7,23,0,0,0,0
1828,5,0,0,0,0,0,8,3,0,0,9,0,0,3,5,0,0,14,5,9,11,15,0,0,3,3,0,0,0,8,8,0,36,15,0,16,0,0,28,4,11,0,11,0,0,7,24,0,0,0,0
1824,5,0,0,0,0,0,8,3,0,0,9,0,0,3,5,0,0,14,5,9,11,15,0,0,3,3,0,0,0,8,8,0,36,15,0,16,0,0,28,4,11,0,11,0,0,7,24,0,0,0,0
1820,3,0,0,0,0,0,9,4,0,0,8,0,0,3,3,0,0,12,3,9,11,15,0,0,3,3,0,0,0,8,8,0,29,15,0,8,0,0,25,4,11,0,8,0,0,8,25,0,0,0,0
1816,0,0,0,0,0,0,9,3,0,0,8,0,0,0,3,0,0,12,3,0,8,22,0,0,0,0,0,0,0,8,8,0,29,15,0,8,0,0,25,4,11,0,8,0,0,8,25,0,0,0,0
1812,0,0,0,0,0,0,9,4,0,0,8,0,0,0,0,0,0,12,3,0,11,22,0,0,0,0,0,0,0,8,8,0,29,15,0,7,0,0,25,4,11,0,8,0,0,8,25,0,0,0,0
1808,0,0,0,0,0,0,9,3,0,0,6,0,0,0,0,0,0,7,0,0,11,19,0,0,0,0,0,0,0,7,8,0,19,14,0,3,0,0,20,4,10,0,5,0,0,6,24,0,0,0,0
1804,0,0,0,0,0,0,9,3,0,0,6,0,0,0,0,0,0,8,0,0,11,19,0,0,0,0,0,0,0,7,8,0,19,14,0,3,0,0,20,4,10,0,5,0,0,6,24,0,0,0,0
1800,0,0,0,0,0,0,9,3,0,0,4,0,0,0,0,0,0,4,0,0,10,16,0,0,0,0,0,0,0,6,7,0,12,12,0,0,0,0,15,4,8,0,3,0,0,4,21,0,0,0,0
1796,0,0,0,0,0,0,9,3,0,0,4,0,0,0,0,0,0,4,0,0,10,16,0,0,0,0,0,0,0,6,7,0,12,12,0,0,0,0,15,4,8,0,3,0,0,4,21,0,0,0,0
1792,0,0,0,0,0,0,9,3,0,0,4,0,0,0,0,0,0,4,0,0,8,16,0,0,0,0,0,0,0,6,7,0,12,12,0,0,0,0,15,4,8,0,0,0,0,3,21,0,0,0,0
1788,0,0,0,0,0,0,7,3,0,0,5,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,10,0,0,0,0
